"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","6.9","$820.26M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","135.99","$78.22B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","3.5","$150.5M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","51.26","$7.68B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","14.28","$1.46B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.48","$31.69M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","40.28","$6.49B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.12","$483.4M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","15.08","$529.32M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","32.08","$2.17B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","17.51","$37.36B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","91.78","$162.34B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","89.94","$158.51B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","10.52","$648.01M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","7.95","$99.77M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.08","$348.46M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","7.63","$133.01M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.75","$90.51M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","6.92","$729.58M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","30.42","$2.03B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","10.64","$916M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","7.25","$567.36M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"ACN","Accenture plc","179.99","$114.76B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","5.56","$525.21M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","12.9","$33.29M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","76.25","$3.02B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","27.12","$2.01B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","13.86","$1.51B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","10.09","$301.43M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
